PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;11;20;55%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;32;42;76%
09Ordenacao;ds.Ordenacao;16;16;100%;28;56;50%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;28;79;35%
11ListArray;ds.Lista;11;12;92%;17;31;55%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;24;31;77%
15Fila;ds.Fila;18;19;95%;29;43;67%
16Fila;ds.Fila;21;23;91%;21;37;57%
17Ordenacao;ds.Ordenacao;48;48;100%;73;139;53%
18FPHeapMax;ds.FPHeapMax;33;40;83%;37;117;32%
19FPHeapMin;ds.FPHeapMin;42;42;100%;61;120;51%
20Tabela;ds.Tabela;10;21;48%;10;57;18%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;72;160;45%
22TabelaHash;ds.TabelaHash;34;35;97%;44;89;49%
23TabelaHash;ds.TabelaHash;49;52;94%;82;166;49%
24Grafo;ds.Grafo;36;42;86%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;64;109;59%
26Grafo;ds.Grafo;48;51;94%;72;127;57%
27Grafo;ds.Grafo;33;33;100%;56;108;52%
28BuscaEmLargura;ds.Grafo;33;33;100%;56;108;52%
29Grafo;ds.Grafo;33;33;100%;60;108;56%
30Lista;ds.AgmPrim;23;32;72%;24;76;32%
31CasamentoExato;ds.CasamentoExato;40;40;100%;71;205;35%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;86;31%
33Identifier;ds.Identifier;22;22;100%;53;114;46%
