PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;3;14;21%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;48;62;77%
05Ordenacao;ds.Ordenacao;10;10;100%;9;20;45%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;32;42;76%
09Ordenacao;ds.Ordenacao;16;16;100%;31;56;55%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;27;79;34%
11ListArray;ds.Lista;11;12;92%;18;31;58%
12Lista;ds.Lista;11;12;92%;16;23;70%
13Pilha;ds.Pilha;11;12;92%;22;31;71%
14Pilha;ds.Pilha;17;17;100%;18;31;58%
15Fila;ds.Fila;18;19;95%;27;43;63%
16Fila;ds.Fila;18;23;78%;19;37;51%
17Ordenacao;ds.Ordenacao;48;48;100%;74;139;53%
18FPHeapMax;ds.FPHeapMax;33;40;83%;37;117;32%
19FPHeapMin;ds.FPHeapMin;42;42;100%;66;120;55%
20Tabela;ds.Tabela;13;21;62%;13;57;23%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;60;160;38%
22TabelaHash;ds.TabelaHash;34;35;97%;44;89;49%
23TabelaHash;ds.TabelaHash;48;52;92%;81;166;49%
24Grafo;ds.Grafo;40;42;95%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;72;109;66%
26Grafo;ds.Grafo;48;51;94%;75;127;59%
27Grafo;ds.Grafo;33;33;100%;75;108;69%
28BuscaEmLargura;ds.Grafo;33;33;100%;48;108;44%
29Grafo;ds.Grafo;33;33;100%;68;108;63%
30Lista;ds.AgmPrim;23;32;72%;24;76;32%
31CasamentoExato;ds.CasamentoExato;40;40;100%;73;205;36%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;22;86;26%
33Identifier;ds.Identifier;22;22;100%;37;114;32%
