PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;52;62;84%
05Ordenacao;ds.Ordenacao;10;10;100%;9;20;45%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;42;79%
09Ordenacao;ds.Ordenacao;16;16;100%;26;56;46%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;27;79;34%
11ListArray;ds.Lista;11;12;92%;17;31;55%
12Lista;ds.Lista;11;12;92%;16;23;70%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;22;31;71%
15Fila;ds.Fila;15;19;79%;21;43;49%
16Fila;ds.Fila;18;23;78%;20;37;54%
17Ordenacao;ds.Ordenacao;48;48;100%;73;139;53%
18FPHeapMax;ds.FPHeapMax;32;40;80%;32;117;27%
19FPHeapMin;ds.FPHeapMin;42;42;100%;60;120;50%
20Tabela;ds.Tabela;13;21;62%;13;57;23%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;76;160;48%
22TabelaHash;ds.TabelaHash;33;35;94%;43;89;48%
23TabelaHash;ds.TabelaHash;50;52;96%;82;166;49%
24Grafo;ds.Grafo;40;42;95%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;56;109;51%
26Grafo;ds.Grafo;47;51;92%;62;127;49%
27Grafo;ds.Grafo;33;33;100%;70;108;65%
28BuscaEmLargura;ds.Grafo;33;33;100%;56;108;52%
29Grafo;ds.Grafo;33;33;100%;54;108;50%
30Lista;ds.AgmPrim;23;32;72%;25;76;33%
31CasamentoExato;ds.CasamentoExato;40;40;100%;67;205;33%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;86;31%
33Identifier;ds.Identifier;22;22;100%;40;114;35%
