PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;49;62;79%
05Ordenacao;ds.Ordenacao;10;10;100%;11;20;55%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;32;42;76%
09Ordenacao;ds.Ordenacao;16;16;100%;28;56;50%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;28;79;35%
11ListArray;ds.Lista;11;12;92%;17;31;55%
12Lista;ds.Lista;11;12;92%;16;23;70%
13Pilha;ds.Pilha;11;12;92%;18;31;58%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;27;43;63%
16Fila;ds.Fila;21;23;91%;21;37;57%
17Ordenacao;ds.Ordenacao;48;48;100%;73;139;53%
18FPHeapMax;ds.FPHeapMax;32;40;80%;38;117;32%
19FPHeapMin;ds.FPHeapMin;42;42;100%;58;120;48%
20Tabela;ds.Tabela;13;21;62%;17;57;30%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;57;160;36%
22TabelaHash;ds.TabelaHash;34;35;97%;44;89;49%
23TabelaHash;ds.TabelaHash;49;52;94%;65;166;39%
24Grafo;ds.Grafo;36;42;86%;61;143;43%
25Grafo;ds.Grafo;34;34;100%;74;109;68%
26Grafo;ds.Grafo;48;51;94%;55;127;43%
27Grafo;ds.Grafo;33;33;100%;56;108;52%
28BuscaEmLargura;ds.Grafo;33;33;100%;74;108;69%
29Grafo;ds.Grafo;33;33;100%;63;108;58%
30Lista;ds.AgmPrim;23;32;72%;24;76;32%
31CasamentoExato;ds.CasamentoExato;40;40;100%;72;205;35%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;22;86;26%
33Identifier;ds.Identifier;22;22;100%;66;114;58%
