PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;17;21;81%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;11;20;55%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;30;42;71%
09Ordenacao;ds.Ordenacao;16;16;100%;32;56;57%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;26;79;33%
11ListArray;ds.Lista;11;12;92%;18;31;58%
12Lista;ds.Lista;11;12;92%;16;23;70%
13Pilha;ds.Pilha;11;12;92%;23;31;74%
14Pilha;ds.Pilha;17;17;100%;17;31;55%
15Fila;ds.Fila;18;19;95%;32;43;74%
16Fila;ds.Fila;21;23;91%;21;37;57%
17Ordenacao;ds.Ordenacao;48;48;100%;73;139;53%
18FPHeapMax;ds.FPHeapMax;32;40;80%;35;117;30%
19FPHeapMin;ds.FPHeapMin;42;42;100%;69;120;58%
20Tabela;ds.Tabela;13;21;62%;13;57;23%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;57;160;36%
22TabelaHash;ds.TabelaHash;34;35;97%;36;89;40%
23TabelaHash;ds.TabelaHash;49;52;94%;81;166;49%
24Grafo;ds.Grafo;40;42;95%;63;143;44%
25Grafo;ds.Grafo;34;34;100%;60;109;55%
26Grafo;ds.Grafo;48;51;94%;78;127;61%
27Grafo;ds.Grafo;33;33;100%;56;108;52%
28BuscaEmLargura;ds.Grafo;33;33;100%;59;108;55%
29Grafo;ds.Grafo;33;33;100%;55;108;51%
30Lista;ds.AgmPrim;23;32;72%;24;76;32%
31CasamentoExato;ds.CasamentoExato;40;40;100%;69;205;34%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;86;31%
33Identifier;ds.Identifier;22;22;100%;39;114;34%
