PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;48;62;77%
05Ordenacao;ds.Ordenacao;10;10;100%;9;20;45%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;42;79%
09Ordenacao;ds.Ordenacao;16;16;100%;32;56;57%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;29;79;37%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;11;12;92%;16;23;70%
13Pilha;ds.Pilha;11;12;92%;18;31;58%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;30;43;70%
16Fila;ds.Fila;18;23;78%;16;37;43%
17Ordenacao;ds.Ordenacao;48;48;100%;76;139;55%
18FPHeapMax;ds.FPHeapMax;32;40;80%;40;117;34%
19FPHeapMin;ds.FPHeapMin;42;42;100%;64;120;53%
20Tabela;ds.Tabela;13;21;62%;13;57;23%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;57;160;36%
22TabelaHash;ds.TabelaHash;34;35;97%;47;89;53%
23TabelaHash;ds.TabelaHash;49;52;94%;80;166;48%
24Grafo;ds.Grafo;36;42;86%;68;143;48%
25Grafo;ds.Grafo;34;34;100%;71;109;65%
26Grafo;ds.Grafo;47;51;92%;67;127;53%
27Grafo;ds.Grafo;33;33;100%;56;108;52%
28BuscaEmLargura;ds.Grafo;33;33;100%;55;108;51%
29Grafo;ds.Grafo;33;33;100%;66;108;61%
30Lista;ds.AgmPrim;23;32;72%;25;76;33%
31CasamentoExato;ds.CasamentoExato;40;40;100%;70;205;34%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;22;86;26%
33Identifier;ds.Identifier;22;22;100%;50;114;44%
