PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;49;62;79%
05Ordenacao;ds.Ordenacao;10;10;100%;10;20;50%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;32;42;76%
09Ordenacao;ds.Ordenacao;16;16;100%;30;56;54%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;28;79;35%
11ListArray;ds.Lista;11;12;92%;18;31;58%
12Lista;ds.Lista;11;12;92%;16;23;70%
13Pilha;ds.Pilha;11;12;92%;21;31;68%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;27;43;63%
16Fila;ds.Fila;18;23;78%;19;37;51%
17Ordenacao;ds.Ordenacao;48;48;100%;72;139;52%
18FPHeapMax;ds.FPHeapMax;32;40;80%;35;117;30%
19FPHeapMin;ds.FPHeapMin;42;42;100%;72;120;60%
20Tabela;ds.Tabela;13;21;62%;13;57;23%
21ArvoreBinaria;ds.ArvoreBinaria;39;48;81%;62;160;39%
22TabelaHash;ds.TabelaHash;34;35;97%;45;89;51%
23TabelaHash;ds.TabelaHash;50;52;96%;80;166;48%
24Grafo;ds.Grafo;36;42;86%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;63;109;58%
26Grafo;ds.Grafo;48;51;94%;71;127;56%
27Grafo;ds.Grafo;33;33;100%;52;108;48%
28BuscaEmLargura;ds.Grafo;33;33;100%;59;108;55%
29Grafo;ds.Grafo;33;33;100%;74;108;69%
30Lista;ds.AgmPrim;23;32;72%;24;76;32%
31CasamentoExato;ds.CasamentoExato;40;40;100%;64;205;31%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;86;31%
33Identifier;ds.Identifier;22;22;100%;37;114;32%
