PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;5;21;24%
03MaxMin;ds.MaxMin2;6;8;75%;5;21;24%
04MaxMin;ds.MaxMin3;11;16;69%;7;62;11%
05Ordenacao;ds.Ordenacao;7;10;70%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;12;42;29%
09Ordenacao;ds.Ordenacao;16;16;100%;22;56;39%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;22;79;28%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;32;43;74%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;31;48;65%;26;139;19%
18FPHeapMax;ds.FPHeapMax;22;40;55%;34;117;29%
19FPHeapMin;ds.FPHeapMin;24;42;57%;27;120;23%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;35;35;100%;59;89;66%
23TabelaHash;ds.TabelaHash;51;52;98%;94;166;57%
24Grafo;ds.Grafo;35;42;83%;74;143;52%
25Grafo;ds.Grafo;34;34;100%;77;109;71%
26Grafo;ds.Grafo;42;51;82%;67;127;53%
27Grafo;ds.Grafo;31;33;94%;48;108;44%
28BuscaEmLargura;ds.Grafo;31;33;94%;49;108;45%
29Grafo;ds.Grafo;33;33;100%;74;108;69%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;113;205;55%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;82;114;72%
