PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;11;16;69%;6;62;10%
05Ordenacao;ds.Ordenacao;7;10;70%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;12;13;92%;7;42;17%
09Ordenacao;ds.Ordenacao;16;16;100%;13;56;23%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;21;79;27%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;32;43;74%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;31;48;65%;32;139;23%
18FPHeapMax;ds.FPHeapMax;22;40;55%;31;117;26%
19FPHeapMin;ds.FPHeapMin;25;42;60%;29;120;24%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;34;35;97%;63;89;71%
23TabelaHash;ds.TabelaHash;50;52;96%;86;166;52%
24Grafo;ds.Grafo;35;42;83%;71;143;50%
25Grafo;ds.Grafo;34;34;100%;72;109;66%
26Grafo;ds.Grafo;48;51;94%;75;127;59%
27Grafo;ds.Grafo;33;33;100%;68;108;63%
28BuscaEmLargura;ds.Grafo;33;33;100%;70;108;65%
29Grafo;ds.Grafo;29;33;88%;60;108;56%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;110;205;54%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;21;22;95%;77;114;68%
