PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;11;16;69%;5;62;8%
05Ordenacao;ds.Ordenacao;6;10;60%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;12;13;92%;11;42;26%
09Ordenacao;ds.Ordenacao;16;16;100%;13;56;23%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;20;79;25%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;32;43;74%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;28;48;58%;31;139;22%
18FPHeapMax;ds.FPHeapMax;19;40;48%;25;117;21%
19FPHeapMin;ds.FPHeapMin;24;42;57%;26;120;22%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;35;35;100%;63;89;71%
23TabelaHash;ds.TabelaHash;50;52;96%;72;166;43%
24Grafo;ds.Grafo;40;42;95%;75;143;52%
25Grafo;ds.Grafo;28;34;82%;44;109;40%
26Grafo;ds.Grafo;49;51;96%;79;127;62%
27Grafo;ds.Grafo;29;33;88%;58;108;54%
28BuscaEmLargura;ds.Grafo;33;33;100%;69;108;64%
29Grafo;ds.Grafo;31;33;94%;66;108;61%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;115;205;56%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;21;22;95%;64;114;56%
