PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;11;16;69%;6;62;10%
05Ordenacao;ds.Ordenacao;7;10;70%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;12;13;92%;11;42;26%
09Ordenacao;ds.Ordenacao;13;16;81%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;21;79;27%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;18;19;95%;28;43;65%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;26;48;54%;30;139;22%
18FPHeapMax;ds.FPHeapMax;22;40;55%;33;117;28%
19FPHeapMin;ds.FPHeapMin;24;42;57%;26;120;22%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;34;35;97%;69;89;78%
23TabelaHash;ds.TabelaHash;51;52;98%;93;166;56%
24Grafo;ds.Grafo;35;42;83%;71;143;50%
25Grafo;ds.Grafo;34;34;100%;58;109;53%
26Grafo;ds.Grafo;49;51;96%;64;127;50%
27Grafo;ds.Grafo;33;33;100%;66;108;61%
28BuscaEmLargura;ds.Grafo;33;33;100%;72;108;67%
29Grafo;ds.Grafo;29;33;88%;54;108;50%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;117;205;57%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;20;22;91%;79;114;69%
