PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;11;16;69%;7;62;11%
05Ordenacao;ds.Ordenacao;7;10;70%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;12;42;29%
09Ordenacao;ds.Ordenacao;15;16;94%;24;56;43%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;21;79;27%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;18;19;95%;30;43;70%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;25;48;52%;30;139;22%
18FPHeapMax;ds.FPHeapMax;22;40;55%;32;117;27%
19FPHeapMin;ds.FPHeapMin;24;42;57%;27;120;23%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;34;35;97%;61;89;69%
23TabelaHash;ds.TabelaHash;51;52;98%;84;166;51%
24Grafo;ds.Grafo;35;42;83%;73;143;51%
25Grafo;ds.Grafo;30;34;88%;53;109;49%
26Grafo;ds.Grafo;48;51;94%;71;127;56%
27Grafo;ds.Grafo;33;33;100%;53;108;49%
28BuscaEmLargura;ds.Grafo;29;33;88%;49;108;45%
29Grafo;ds.Grafo;33;33;100%;61;108;56%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;115;205;56%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;78;114;68%
