PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;11;16;69%;7;62;11%
05Ordenacao;ds.Ordenacao;3;10;30%;5;20;25%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;12;13;92%;11;42;26%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;21;79;27%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;18;19;95%;30;43;70%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;28;48;58%;31;139;22%
18FPHeapMax;ds.FPHeapMax;21;40;53%;27;117;23%
19FPHeapMin;ds.FPHeapMin;24;42;57%;27;120;23%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;35;35;100%;68;89;76%
23TabelaHash;ds.TabelaHash;50;52;96%;86;166;52%
24Grafo;ds.Grafo;40;42;95%;78;143;55%
25Grafo;ds.Grafo;34;34;100%;71;109;65%
26Grafo;ds.Grafo;48;51;94%;75;127;59%
27Grafo;ds.Grafo;27;33;82%;48;108;44%
28BuscaEmLargura;ds.Grafo;27;33;82%;43;108;40%
29Grafo;ds.Grafo;27;33;82%;43;108;40%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;113;205;55%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;20;22;91%;55;114;48%
