PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;3;4;75%;0;14;0%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;11;16;69%;7;62;11%
05Ordenacao;ds.Ordenacao;3;10;30%;5;20;25%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;12;42;29%
09Ordenacao;ds.Ordenacao;13;16;81%;13;56;23%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;22;79;28%
11ListArray;ds.Lista;11;12;92%;19;31;61%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;11;12;92%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;23;31;74%
15Fila;ds.Fila;18;19;95%;32;43;74%
16Fila;ds.Fila;23;23;100%;25;37;68%
17Ordenacao;ds.Ordenacao;29;48;60%;27;139;19%
18FPHeapMax;ds.FPHeapMax;29;40;73%;37;117;32%
19FPHeapMin;ds.FPHeapMin;24;42;57%;27;120;23%
20Tabela;ds.Tabela;5;21;24%;0;57;0%
21ArvoreBinaria;ds.ArvoreBinaria;6;48;13%;2;160;1%
22TabelaHash;ds.TabelaHash;35;35;100%;51;89;57%
23TabelaHash;ds.TabelaHash;49;52;94%;86;166;52%
24Grafo;ds.Grafo;35;42;83%;74;143;52%
25Grafo;ds.Grafo;34;34;100%;59;109;54%
26Grafo;ds.Grafo;39;51;76%;62;127;49%
27Grafo;ds.Grafo;33;33;100%;55;108;51%
28BuscaEmLargura;ds.Grafo;33;33;100%;72;108;67%
29Grafo;ds.Grafo;33;33;100%;58;108;54%
30Lista;ds.AgmPrim;0;32;0%;0;76;0%
31CasamentoExato;ds.CasamentoExato;40;40;100%;116;205;57%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;86;114;75%
