PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;9;14;64%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;48;62;77%
05Ordenacao;ds.Ordenacao;10;10;100%;18;20;90%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;35;42;83%
09Ordenacao;ds.Ordenacao;16;16;100%;54;56;96%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;26;31;84%
12Lista;ds.Lista;12;12;100%;19;23;83%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;37;43;86%
16Fila;ds.Fila;23;23;100%;29;37;78%
17Ordenacao;ds.Ordenacao;48;48;100%;94;139;68%
18FPHeapMax;ds.FPHeapMax;40;40;100%;117;117;100%
19FPHeapMin;ds.FPHeapMin;42;42;100%;80;120;67%
20Tabela;ds.Tabela;21;21;100%;35;57;61%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;81;89;91%
23TabelaHash;ds.TabelaHash;52;52;100%;153;166;92%
24Grafo;ds.Grafo;40;42;95%;89;143;62%
25Grafo;ds.Grafo;34;34;100%;88;109;81%
26Grafo;ds.Grafo;51;51;100%;97;127;76%
27Grafo;ds.Grafo;33;33;100%;89;108;82%
28BuscaEmLargura;ds.Grafo;33;33;100%;91;108;84%
29Grafo;ds.Grafo;33;33;100%;89;108;82%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;122;205;60%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;80;114;70%
