01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;5;21;24%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;11;16;69%;7;61;11%
05Ordenacao;ds.Ordenacao;7;10;70%;4;21;19%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;12;13;92%;7;41;17%
09Ordenacao;ds.Ordenacao;9;16;56%;11;56;20%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;22;75;29%
11ListArray;ds.Lista;10;12;83%;12;29;41%
12Lista;ds.Lista;12;12;100%;15;21;71%
13Pilha;ds.Pilha;5;12;42%;6;27;22%
14Pilha;ds.Pilha;17;17;100%;17;27;63%
15Fila;ds.Fila;17;19;89%;19;40;48%
16Fila;ds.Fila;21;23;91%;22;32;69%
17Ordenacao;ds.Ordenacao;32;48;67%;29;141;21%
18FPHeapMax;ds.FPHeapMax;22;40;55%;20;116;17%
19FPHeapMin;ds.FPHeapMin;21;42;50%;27;120;23%
20Tabela;ds.Tabela;10;21;48%;4;55;7%
21ArvoreBinaria;ds.ArvoreBinaria;25;48;52%;24;145;17%
22TabelaHash;ds.TabelaHash;29;35;83%;47;88;53%
23TabelaHash;ds.TabelaHash;49;52;94%;89;162;55%
24Grafo;ds.Grafo;25;42;60%;54;134;40%
25Grafo;ds.Grafo;30;34;88%;52;95;55%
26Grafo;ds.Grafo;29;51;57%;33;113;29%
27Grafo;ds.Grafo;20;33;61%;10;94;11%
28BuscaEmLargura;ds.Grafo;20;33;61%;10;94;11%
29Grafo;ds.Grafo;20;33;61%;10;94;11%
30Lista;ds.AgmPrim;9;32;28%;1;71;1%
31CasamentoExato;ds.CasamentoExato;39;40;98%;87;205;42%
32CasamentoAproximado;ds.CasamentoAproximado;14;19;74%;23;88;26%
