01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;5;21;24%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;14;16;88%;6;61;10%
05Ordenacao;ds.Ordenacao;6;10;60%;3;21;14%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;10;13;77%;6;41;15%
09Ordenacao;ds.Ordenacao;3;16;19%;2;56;4%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;22;75;29%
11ListArray;ds.Lista;10;12;83%;12;29;41%
12Lista;ds.Lista;12;12;100%;14;21;67%
13Pilha;ds.Pilha;10;12;83%;17;27;63%
14Pilha;ds.Pilha;17;17;100%;18;27;67%
15Fila;ds.Fila;14;19;74%;17;40;43%
16Fila;ds.Fila;21;23;91%;22;32;69%
17Ordenacao;ds.Ordenacao;31;48;65%;32;141;23%
18FPHeapMax;ds.FPHeapMax;22;40;55%;16;116;14%
19FPHeapMin;ds.FPHeapMin;23;42;55%;24;120;20%
20Tabela;ds.Tabela;12;21;57%;12;55;22%
21ArvoreBinaria;ds.ArvoreBinaria;18;48;38%;12;145;8%
22TabelaHash;ds.TabelaHash;31;35;89%;34;88;39%
23TabelaHash;ds.TabelaHash;47;52;90%;71;162;44%
24Grafo;ds.Grafo;36;42;86%;67;134;50%
25Grafo;ds.Grafo;32;34;94%;54;95;57%
26Grafo;ds.Grafo;26;51;51%;38;113;34%
27Grafo;ds.Grafo;24;33;73%;32;94;34%
28BuscaEmLargura;ds.Grafo;24;33;73%;32;94;34%
29Grafo;ds.Grafo;24;33;73%;32;94;34%
30Lista;ds.AgmPrim;9;32;28%;1;71;1%
31CasamentoExato;ds.CasamentoExato;37;40;93%;86;205;42%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;88;31%
