01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;5;21;24%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;14;16;88%;8;61;13%
05Ordenacao;ds.Ordenacao;7;10;70%;4;21;19%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;8;41;20%
09Ordenacao;ds.Ordenacao;15;16;94%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;20;75;27%
11ListArray;ds.Lista;11;12;92%;14;29;48%
12Lista;ds.Lista;11;12;92%;15;21;71%
13Pilha;ds.Pilha;11;12;92%;23;27;85%
14Pilha;ds.Pilha;17;17;100%;20;27;74%
15Fila;ds.Fila;18;19;95%;25;40;63%
16Fila;ds.Fila;23;23;100%;24;32;75%
17Ordenacao;ds.Ordenacao;29;48;60%;30;141;21%
18FPHeapMax;ds.FPHeapMax;24;40;60%;25;116;22%
19FPHeapMin;ds.FPHeapMin;27;42;64%;26;120;22%
20Tabela;ds.Tabela;7;21;33%;1;55;2%
21ArvoreBinaria;ds.ArvoreBinaria;20;48;42%;20;145;14%
22TabelaHash;ds.TabelaHash;31;35;89%;45;88;51%
23TabelaHash;ds.TabelaHash;48;52;92%;59;162;36%
24Grafo;ds.Grafo;35;42;83%;68;134;51%
25Grafo;ds.Grafo;28;34;82%;38;95;40%
26Grafo;ds.Grafo;29;51;57%;40;113;35%
27Grafo;ds.Grafo;22;33;67%;28;94;30%
28BuscaEmLargura;ds.Grafo;22;33;67%;28;94;30%
29Grafo;ds.Grafo;22;33;67%;28;94;30%
30Lista;ds.AgmPrim;9;32;28%;1;71;1%
31CasamentoExato;ds.CasamentoExato;39;40;98%;92;205;45%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;28;88;32%
