01Max;ds.Max;4;4;100%;4;14;29%
02MaxMin;ds.MaxMin1;8;8;100%;5;21;24%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;14;16;88%;5;61;8%
05Ordenacao;ds.Ordenacao;6;10;60%;3;21;14%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;8;41;20%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;23;75;31%
11ListArray;ds.Lista;10;12;83%;12;29;41%
12Lista;ds.Lista;11;12;92%;12;21;57%
13Pilha;ds.Pilha;10;12;83%;19;27;70%
14Pilha;ds.Pilha;13;17;76%;12;27;44%
15Fila;ds.Fila;10;19;53%;12;40;30%
16Fila;ds.Fila;18;23;78%;15;32;47%
17Ordenacao;ds.Ordenacao;31;48;65%;27;141;19%
18FPHeapMax;ds.FPHeapMax;23;40;58%;28;116;24%
19FPHeapMin;ds.FPHeapMin;27;42;64%;32;120;27%
20Tabela;ds.Tabela;12;21;57%;12;55;22%
21ArvoreBinaria;ds.ArvoreBinaria;18;48;38%;12;145;8%
22TabelaHash;ds.TabelaHash;31;35;89%;34;88;39%
23TabelaHash;ds.TabelaHash;48;52;92%;62;162;38%
24Grafo;ds.Grafo;32;42;76%;73;134;54%
25Grafo;ds.Grafo;33;34;97%;49;95;52%
26Grafo;ds.Grafo;34;51;67%;46;113;41%
27Grafo;ds.Grafo;29;33;88%;45;94;48%
28BuscaEmLargura;ds.Grafo;29;33;88%;45;94;48%
29Grafo;ds.Grafo;29;33;88%;45;94;48%
30Lista;ds.AgmPrim;9;32;28%;1;71;1%
31CasamentoExato;ds.CasamentoExato;39;40;98%;92;205;45%
32CasamentoAproximado;ds.CasamentoAproximado;18;19;95%;30;88;34%
