01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;5;21;24%
03MaxMin;ds.MaxMin2;8;8;100%;5;21;24%
04MaxMin;ds.MaxMin3;11;16;69%;8;61;13%
05Ordenacao;ds.Ordenacao;7;10;70%;4;21;19%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;12;13;92%;7;41;17%
09Ordenacao;ds.Ordenacao;13;16;81%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;23;75;31%
11ListArray;ds.Lista;8;12;67%;11;29;38%
12Lista;ds.Lista;11;12;92%;8;21;38%
13Pilha;ds.Pilha;10;12;83%;13;27;48%
14Pilha;ds.Pilha;13;17;76%;12;27;44%
15Fila;ds.Fila;16;19;84%;20;40;50%
16Fila;ds.Fila;18;23;78%;15;32;47%
17Ordenacao;ds.Ordenacao;32;48;67%;32;141;23%
18FPHeapMax;ds.FPHeapMax;21;40;53%;22;116;19%
19FPHeapMin;ds.FPHeapMin;25;42;60%;29;120;24%
20Tabela;ds.Tabela;12;21;57%;10;55;18%
21ArvoreBinaria;ds.ArvoreBinaria;18;48;38%;12;145;8%
22TabelaHash;ds.TabelaHash;25;35;71%;31;88;35%
23TabelaHash;ds.TabelaHash;49;52;94%;73;162;45%
24Grafo;ds.Grafo;35;42;83%;70;134;52%
25Grafo;ds.Grafo;26;34;76%;40;95;42%
26Grafo;ds.Grafo;23;51;45%;19;113;17%
27Grafo;ds.Grafo;26;33;79%;37;94;39%
28BuscaEmLargura;ds.Grafo;26;33;79%;37;94;39%
29Grafo;ds.Grafo;26;33;79%;37;94;39%
30Lista;ds.AgmPrim;9;32;28%;1;71;1%
31CasamentoExato;ds.CasamentoExato;39;40;98%;91;205;44%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;88;31%
