PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;8;14;57%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;16;16;100%;18;62;29%
05Ordenacao;ds.Ordenacao;10;10;100%;14;20;70%
06Fibonacci;ds.Fibonacci;6;6;100%;9;12;75%
07Fibonacci;ds.Fibonacci;6;6;100%;9;12;75%
08MaxMin;ds.MaxMin4;13;13;100%;9;42;21%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;0;14;0%;0;79;0%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;16;23;70%
13Pilha;ds.Pilha;12;12;100%;16;31;52%
14Pilha;ds.Pilha;17;17;100%;18;31;58%
15Fila;ds.Fila;19;19;100%;27;43;63%
16Fila;ds.Fila;23;23;100%;37;37;100%
17Ordenacao;ds.Ordenacao;48;48;100%;55;139;40%
18FPHeapMax;ds.FPHeapMax;40;40;100%;61;117;52%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;73;89;82%
23TabelaHash;ds.TabelaHash;52;52;100%;104;166;63%
24Grafo;ds.Grafo;8;42;19%;10;143;7%
25Grafo;ds.Grafo;34;34;100%;64;109;59%
26Grafo;ds.Grafo;51;51;100%;64;127;50%
27Grafo;ds.Grafo;33;33;100%;64;108;59%
28BuscaEmLargura;ds.Grafo;33;33;100%;64;108;59%
29Grafo;ds.Grafo;33;33;100%;64;108;59%
30Lista;ds.AgmPrim;32;32;100%;23;76;30%
31CasamentoExato;ds.CasamentoExato;40;40;100%;75;205;37%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;21;86;24%
33Identifier;ds.Identifier;22;22;100%;54;114;47%
