PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;6;21;29%
03MaxMin;ds.MaxMin2;8;8;100%;6;21;29%
04MaxMin;ds.MaxMin3;16;16;100%;9;62;15%
05Ordenacao;ds.Ordenacao;10;10;100%;14;20;70%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;19;42;45%
09Ordenacao;ds.Ordenacao;16;16;100%;12;56;21%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;0;14;0%;0;79;0%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;16;23;70%
13Pilha;ds.Pilha;12;12;100%;21;31;68%
14Pilha;ds.Pilha;17;17;100%;17;31;55%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;21;37;57%
17Ordenacao;ds.Ordenacao;48;48;100%;50;139;36%
18FPHeapMax;ds.FPHeapMax;40;40;100%;75;117;64%
19FPHeapMin;ds.FPHeapMin;42;42;100%;59;120;49%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;69;89;78%
23TabelaHash;ds.TabelaHash;52;52;100%;104;166;63%
24Grafo;ds.Grafo;8;42;19%;10;143;7%
25Grafo;ds.Grafo;34;34;100%;60;109;55%
26Grafo;ds.Grafo;50;51;98%;124;127;98%
27Grafo;ds.Grafo;33;33;100%;81;108;75%
28BuscaEmLargura;ds.Grafo;33;33;100%;81;108;75%
29Grafo;ds.Grafo;33;33;100%;81;108;75%
30Lista;ds.AgmPrim;32;32;100%;23;76;30%
31CasamentoExato;ds.CasamentoExato;40;40;100%;66;205;32%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;29;86;34%
33Identifier;ds.Identifier;22;22;100%;61;114;54%
