PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;17;21;81%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;14;20;70%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;34;42;81%
09Ordenacao;ds.Ordenacao;16;16;100%;37;56;66%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;25;31;81%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;25;31;81%
15Fila;ds.Fila;19;19;100%;35;43;81%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;99;139;71%
18FPHeapMax;ds.FPHeapMax;40;40;100%;117;117;100%
19FPHeapMin;ds.FPHeapMin;42;42;100%;74;120;62%
20Tabela;ds.Tabela;21;21;100%;42;57;74%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;89;89;100%
23TabelaHash;ds.TabelaHash;52;52;100%;103;166;62%
24Grafo;ds.Grafo;40;42;95%;97;143;68%
25Grafo;ds.Grafo;34;34;100%;70;109;64%
26Grafo;ds.Grafo;50;51;98%;92;127;72%
27Grafo;ds.Grafo;33;33;100%;84;108;78%
28BuscaEmLargura;ds.Grafo;33;33;100%;84;108;78%
29Grafo;ds.Grafo;33;33;100%;88;108;81%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;117;205;57%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;86;114;75%
