PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;17;21;81%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;18;20;90%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;42;79%
09Ordenacao;ds.Ordenacao;16;16;100%;36;56;64%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;22;31;71%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;26;31;84%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;95;139;68%
18FPHeapMax;ds.FPHeapMax;40;40;100%;117;117;100%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;37;57;65%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;82;89;92%
23TabelaHash;ds.TabelaHash;52;52;100%;166;166;100%
24Grafo;ds.Grafo;40;42;95%;75;143;52%
25Grafo;ds.Grafo;34;34;100%;80;109;73%
26Grafo;ds.Grafo;50;51;98%;85;127;67%
27Grafo;ds.Grafo;33;33;100%;87;108;81%
28BuscaEmLargura;ds.Grafo;33;33;100%;90;108;83%
29Grafo;ds.Grafo;33;33;100%;85;108;79%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;119;205;58%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;91;114;80%
