PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;52;62;84%
05Ordenacao;ds.Ordenacao;10;10;100%;13;20;65%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;35;42;83%
09Ordenacao;ds.Ordenacao;16;16;100%;29;56;52%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;36;79;46%
11ListArray;ds.Lista;12;12;100%;22;31;71%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;26;31;84%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;28;37;76%
17Ordenacao;ds.Ordenacao;48;48;100%;92;139;66%
18FPHeapMax;ds.FPHeapMax;40;40;100%;80;117;68%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;41;48;85%;138;160;86%
22TabelaHash;ds.TabelaHash;35;35;100%;83;89;93%
23TabelaHash;ds.TabelaHash;52;52;100%;166;166;100%
24Grafo;ds.Grafo;40;42;95%;72;143;50%
25Grafo;ds.Grafo;34;34;100%;75;109;69%
26Grafo;ds.Grafo;51;51;100%;84;127;66%
27Grafo;ds.Grafo;33;33;100%;83;108;77%
28BuscaEmLargura;ds.Grafo;33;33;100%;84;108;78%
29Grafo;ds.Grafo;33;33;100%;73;108;68%
30Lista;ds.AgmPrim;32;32;100%;33;76;43%
31CasamentoExato;ds.CasamentoExato;40;40;100%;120;205;59%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;22;22;100%;91;114;80%
