PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;11;21;52%
03MaxMin;ds.MaxMin2;8;8;100%;11;21;52%
04MaxMin;ds.MaxMin3;16;16;100%;23;62;37%
05Ordenacao;ds.Ordenacao;7;10;70%;6;20;30%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;21;42;50%
09Ordenacao;ds.Ordenacao;16;16;100%;52;56;93%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;13;14;93%;24;79;30%
11ListArray;ds.Lista;12;12;100%;24;31;77%
12Lista;ds.Lista;12;12;100%;19;23;83%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;37;43;86%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;32;48;67%;34;139;24%
18FPHeapMax;ds.FPHeapMax;30;40;75%;38;117;32%
19FPHeapMin;ds.FPHeapMin;30;42;71%;37;120;31%
20Tabela;ds.Tabela;16;21;76%;20;57;35%
21ArvoreBinaria;ds.ArvoreBinaria;26;48;54%;28;160;18%
22TabelaHash;ds.TabelaHash;35;35;100%;73;89;82%
23TabelaHash;ds.TabelaHash;51;52;98%;155;166;93%
24Grafo;ds.Grafo;42;42;100%;110;143;77%
25Grafo;ds.Grafo;34;34;100%;81;109;74%
26Grafo;ds.Grafo;49;51;96%;95;127;75%
27Grafo;ds.Grafo;33;33;100%;78;108;72%
28BuscaEmLargura;ds.Grafo;33;33;100%;78;108;72%
29Grafo;ds.Grafo;33;33;100%;78;108;72%
30Lista;ds.AgmPrim;9;32;28%;1;76;1%
31CasamentoExato;ds.CasamentoExato;40;40;100%;118;205;58%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;34;86;40%
33Identifier;ds.Identifier;20;22;91%;59;114;52%
