01Max,ds.Max,4,4,100%,6,14,43%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,11,16,69%,8,61,13%
05Ordenacao,ds.Ordenacao,6,10,60%,5,21,24%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,13,13,100%,10,41,24%
09Ordenacao,ds.Ordenacao,13,16,81%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,22,75,29%
11ListArray,ds.Lista,5,12,42%,10,29,34%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,12,12,100%,19,27,70%
14Pilha,ds.Pilha,17,17,100%,24,27,89%
15Fila,ds.Fila,17,19,89%,21,40,53%
16Fila,ds.Fila,21,23,91%,22,32,69%
17Ordenacao,ds.Ordenacao,33,49,67%,34,141,24%
18FPHeapMax,ds.FPHeapMax,26,40,65%,33,116,28%
19FPHeapMin,ds.FPHeapMin,28,42,67%,39,120,33%
20Tabela,ds.Tabela,13,21,62%,14,55,25%
21ArvoreBinaria,ds.ArvoreBinaria,26,48,54%,27,145,19%
22TabelaHash,ds.TabelaHash,31,35,89%,49,88,56%
23TabelaHash,ds.TabelaHash,49,51,96%,89,162,55%
24Grafo,ds.Grafo,35,42,83%,73,134,54%
25Grafo,ds.Grafo,32,34,94%,57,95,60%
26Grafo,ds.Grafo,44,51,86%,61,113,54%
27Grafo,ds.Grafo,27,33,82%,39,94,41%
28BuscaEmLargura,ds.Grafo,27,33,82%,39,94,41%
29Grafo,ds.Grafo,27,33,82%,39,94,41%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,39,40,98%,103,205,50%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,33,88,38%
