01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,7,21,33%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,16,16,100%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,4,21,19%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,13,13,100%,10,41,24%
09Ordenacao,ds.Ordenacao,16,16,100%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,24,75,32%
11ListArray,ds.Lista,10,12,83%,17,29,59%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,11,12,92%,20,27,74%
14Pilha,ds.Pilha,17,17,100%,22,27,81%
15Fila,ds.Fila,14,19,74%,17,40,43%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,32,141,23%
18FPHeapMax,ds.FPHeapMax,23,40,58%,29,116,25%
19FPHeapMin,ds.FPHeapMin,27,42,64%,36,120,30%
20Tabela,ds.Tabela,15,21,71%,13,55,24%
21ArvoreBinaria,ds.ArvoreBinaria,26,48,54%,27,145,19%
22TabelaHash,ds.TabelaHash,31,35,89%,36,88,41%
23TabelaHash,ds.TabelaHash,49,51,96%,93,162,57%
24Grafo,ds.Grafo,35,42,83%,75,134,56%
25Grafo,ds.Grafo,34,34,100%,55,95,58%
26Grafo,ds.Grafo,40,51,78%,59,113,52%
27Grafo,ds.Grafo,33,33,100%,57,94,61%
28BuscaEmLargura,ds.Grafo,33,33,100%,57,94,61%
29Grafo,ds.Grafo,33,33,100%,57,94,61%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,40,40,100%,110,205,54%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,36,88,41%
