01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,14,16,88%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,4,21,19%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,12,13,92%,8,41,20%
09Ordenacao,ds.Ordenacao,16,16,100%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,26,75,35%
11ListArray,ds.Lista,10,12,83%,16,29,55%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,11,12,92%,22,27,81%
14Pilha,ds.Pilha,16,17,94%,22,27,81%
15Fila,ds.Fila,18,19,95%,21,40,53%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,34,141,24%
18FPHeapMax,ds.FPHeapMax,26,40,65%,24,116,21%
19FPHeapMin,ds.FPHeapMin,21,42,50%,29,120,24%
20Tabela,ds.Tabela,15,21,71%,13,55,24%
21ArvoreBinaria,ds.ArvoreBinaria,25,48,52%,24,145,17%
22TabelaHash,ds.TabelaHash,31,35,89%,56,88,64%
23TabelaHash,ds.TabelaHash,50,51,98%,98,162,60%
24Grafo,ds.Grafo,40,42,95%,80,134,60%
25Grafo,ds.Grafo,30,34,88%,53,95,56%
26Grafo,ds.Grafo,39,51,76%,35,113,31%
27Grafo,ds.Grafo,27,33,82%,41,94,44%
28BuscaEmLargura,ds.Grafo,27,33,82%,41,94,44%
29Grafo,ds.Grafo,27,33,82%,41,94,44%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,40,40,100%,110,205,54%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,34,88,39%
