01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,16,16,100%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,7,21,33%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,12,13,92%,11,41,27%
09Ordenacao,ds.Ordenacao,15,16,94%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,23,75,31%
11ListArray,ds.Lista,11,12,92%,21,29,72%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,11,12,92%,20,27,74%
14Pilha,ds.Pilha,17,17,100%,24,27,89%
15Fila,ds.Fila,18,19,95%,31,40,78%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,34,141,24%
18FPHeapMax,ds.FPHeapMax,27,40,68%,27,116,23%
19FPHeapMin,ds.FPHeapMin,31,42,74%,41,120,34%
20Tabela,ds.Tabela,12,21,57%,12,55,22%
21ArvoreBinaria,ds.ArvoreBinaria,21,48,44%,23,145,16%
22TabelaHash,ds.TabelaHash,31,35,89%,50,88,57%
23TabelaHash,ds.TabelaHash,50,51,98%,75,162,46%
24Grafo,ds.Grafo,35,42,83%,77,134,57%
25Grafo,ds.Grafo,34,34,100%,68,95,72%
26Grafo,ds.Grafo,48,51,94%,52,113,46%
27Grafo,ds.Grafo,31,33,94%,53,94,56%
28BuscaEmLargura,ds.Grafo,31,33,94%,53,94,56%
29Grafo,ds.Grafo,31,33,94%,53,94,56%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,39,40,98%,107,205,52%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,37,88,42%
