01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,14,16,88%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,4,21,19%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,13,13,100%,10,41,24%
09Ordenacao,ds.Ordenacao,16,16,100%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,23,75,31%
11ListArray,ds.Lista,11,12,92%,20,29,69%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,11,12,92%,23,27,85%
14Pilha,ds.Pilha,16,17,94%,22,27,81%
15Fila,ds.Fila,14,19,74%,17,40,43%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,34,141,24%
18FPHeapMax,ds.FPHeapMax,28,40,70%,29,116,25%
19FPHeapMin,ds.FPHeapMin,30,42,71%,40,120,33%
20Tabela,ds.Tabela,16,21,76%,20,55,36%
21ArvoreBinaria,ds.ArvoreBinaria,21,48,44%,23,145,16%
22TabelaHash,ds.TabelaHash,31,35,89%,50,88,57%
23TabelaHash,ds.TabelaHash,50,51,98%,95,162,59%
24Grafo,ds.Grafo,40,42,95%,79,134,59%
25Grafo,ds.Grafo,34,34,100%,60,95,63%
26Grafo,ds.Grafo,42,51,82%,49,113,43%
27Grafo,ds.Grafo,27,33,82%,37,94,39%
28BuscaEmLargura,ds.Grafo,27,33,82%,37,94,39%
29Grafo,ds.Grafo,27,33,82%,37,94,39%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,39,40,98%,106,205,52%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,36,88,41%
