01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,14,16,88%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,4,21,19%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,13,13,100%,11,41,27%
09Ordenacao,ds.Ordenacao,16,16,100%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,23,75,31%
11ListArray,ds.Lista,11,12,92%,17,29,59%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,12,12,100%,24,27,89%
14Pilha,ds.Pilha,17,17,100%,20,27,74%
15Fila,ds.Fila,17,19,89%,28,40,70%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,32,141,23%
18FPHeapMax,ds.FPHeapMax,29,40,73%,31,116,27%
19FPHeapMin,ds.FPHeapMin,30,42,71%,39,120,33%
20Tabela,ds.Tabela,15,21,71%,11,55,20%
21ArvoreBinaria,ds.ArvoreBinaria,21,48,44%,23,145,16%
22TabelaHash,ds.TabelaHash,31,35,89%,49,88,56%
23TabelaHash,ds.TabelaHash,48,51,94%,89,162,55%
24Grafo,ds.Grafo,35,42,83%,74,134,55%
25Grafo,ds.Grafo,34,34,100%,60,95,63%
26Grafo,ds.Grafo,35,51,69%,42,113,37%
27Grafo,ds.Grafo,27,33,82%,31,94,33%
28BuscaEmLargura,ds.Grafo,27,33,82%,31,94,33%
29Grafo,ds.Grafo,27,33,82%,31,94,33%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,39,40,98%,103,205,50%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,38,88,43%
