01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,7,21,33%
03MaxMin,ds.MaxMin2,8,8,100%,7,21,33%
04MaxMin,ds.MaxMin3,16,16,100%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,7,21,33%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,13,13,100%,11,41,27%
09Ordenacao,ds.Ordenacao,16,16,100%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,23,75,31%
11ListArray,ds.Lista,10,12,83%,13,29,45%
12Lista,ds.Lista,12,12,100%,14,21,67%
13Pilha,ds.Pilha,10,12,83%,16,27,59%
14Pilha,ds.Pilha,17,17,100%,25,27,93%
15Fila,ds.Fila,19,19,100%,25,40,63%
16Fila,ds.Fila,23,23,100%,25,32,78%
17Ordenacao,ds.Ordenacao,33,49,67%,34,141,24%
18FPHeapMax,ds.FPHeapMax,28,40,70%,32,116,28%
19FPHeapMin,ds.FPHeapMin,30,42,71%,39,120,33%
20Tabela,ds.Tabela,16,21,76%,15,55,27%
21ArvoreBinaria,ds.ArvoreBinaria,26,48,54%,27,145,19%
22TabelaHash,ds.TabelaHash,31,35,89%,48,88,55%
23TabelaHash,ds.TabelaHash,50,51,98%,91,162,56%
24Grafo,ds.Grafo,40,42,95%,79,134,59%
25Grafo,ds.Grafo,32,34,94%,58,95,61%
26Grafo,ds.Grafo,42,51,82%,51,113,45%
27Grafo,ds.Grafo,33,33,100%,57,94,61%
28BuscaEmLargura,ds.Grafo,33,33,100%,57,94,61%
29Grafo,ds.Grafo,33,33,100%,57,94,61%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,39,40,98%,99,205,48%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,37,88,42%
