01Max,ds.Max,4,4,100%,7,14,50%
02MaxMin,ds.MaxMin1,8,8,100%,5,21,24%
03MaxMin,ds.MaxMin2,8,8,100%,5,21,24%
04MaxMin,ds.MaxMin3,16,16,100%,8,61,13%
05Ordenacao,ds.Ordenacao,7,10,70%,5,21,24%
06Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
07Fibonacci,ds.Fibonacci,6,6,100%,12,12,100%
08MaxMin,ds.MaxMin4,13,13,100%,11,41,27%
09Ordenacao,ds.Ordenacao,13,16,81%,12,56,21%
10AvaliaMultMatrizes,ds.AvaliaMultMatrizes,13,14,93%,22,75,29%
11ListArray,ds.Lista,10,12,83%,14,29,48%
12Lista,ds.Lista,12,12,100%,15,21,71%
13Pilha,ds.Pilha,11,12,92%,23,27,85%
14Pilha,ds.Pilha,17,17,100%,24,27,89%
15Fila,ds.Fila,18,19,95%,29,40,73%
16Fila,ds.Fila,22,23,96%,22,32,69%
17Ordenacao,ds.Ordenacao,33,49,67%,34,141,24%
18FPHeapMax,ds.FPHeapMax,23,40,58%,23,116,20%
19FPHeapMin,ds.FPHeapMin,30,42,71%,40,120,33%
20Tabela,ds.Tabela,15,21,71%,11,55,20%
21ArvoreBinaria,ds.ArvoreBinaria,26,48,54%,27,145,19%
22TabelaHash,ds.TabelaHash,31,35,89%,52,88,59%
23TabelaHash,ds.TabelaHash,48,51,94%,87,162,54%
24Grafo,ds.Grafo,36,42,86%,79,134,59%
25Grafo,ds.Grafo,34,34,100%,72,95,76%
26Grafo,ds.Grafo,42,51,82%,48,113,42%
27Grafo,ds.Grafo,27,33,82%,39,94,41%
28BuscaEmLargura,ds.Grafo,27,33,82%,39,94,41%
29Grafo,ds.Grafo,27,33,82%,39,94,41%
30Lista,ds.AgmPrim,9,31,29%,1,71,1%
31CasamentoExato,ds.CasamentoExato,40,40,100%,111,205,54%
32CasamentoAproximado,ds.CasamentoAproximado,19,19,100%,38,88,43%
