PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;17;21;81%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;16;20;80%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;30;42;71%
09Ordenacao;ds.Ordenacao;16;16;100%;35;56;63%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;28;79;35%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;23;31;74%
14Pilha;ds.Pilha;17;17;100%;23;31;74%
15Fila;ds.Fila;19;19;100%;43;43;100%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;92;139;66%
18FPHeapMax;ds.FPHeapMax;40;40;100%;117;117;100%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;37;57;65%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;73;89;82%
23TabelaHash;ds.TabelaHash;52;52;100%;166;166;100%
24Grafo;ds.Grafo;40;42;95%;63;143;44%
25Grafo;ds.Grafo;34;34;100%;73;109;67%
26Grafo;ds.Grafo;51;51;100%;127;127;100%
27Grafo;ds.Grafo;33;33;100%;85;108;79%
28BuscaEmLargura;ds.Grafo;33;33;100%;85;108;79%
29Grafo;ds.Grafo;33;33;100%;85;108;79%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;85;205;41%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;86;31%
33Identifier;ds.Identifier;22;22;100%;52;114;46%
