PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;49;62;79%
05Ordenacao;ds.Ordenacao;10;10;100%;16;20;80%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;32;42;76%
09Ordenacao;ds.Ordenacao;16;16;100%;29;56;52%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;29;79;37%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;23;31;74%
14Pilha;ds.Pilha;17;17;100%;23;31;74%
15Fila;ds.Fila;19;19;100%;32;43;74%
16Fila;ds.Fila;23;23;100%;37;37;100%
17Ordenacao;ds.Ordenacao;48;48;100%;98;139;71%
18FPHeapMax;ds.FPHeapMax;40;40;100%;70;117;60%
19FPHeapMin;ds.FPHeapMin;42;42;100%;85;120;71%
20Tabela;ds.Tabela;21;21;100%;32;57;56%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;50;89;56%
23TabelaHash;ds.TabelaHash;52;52;100%;102;166;61%
24Grafo;ds.Grafo;36;42;86%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;66;109;61%
26Grafo;ds.Grafo;50;51;98%;88;127;69%
27Grafo;ds.Grafo;33;33;100%;73;108;68%
28BuscaEmLargura;ds.Grafo;33;33;100%;69;108;64%
29Grafo;ds.Grafo;33;33;100%;83;108;77%
30Lista;ds.AgmPrim;32;32;100%;33;76;43%
31CasamentoExato;ds.CasamentoExato;40;40;100%;83;205;40%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;86;86;100%
33Identifier;ds.Identifier;22;22;100%;77;114;68%
