PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;7;14;50%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;50;62;81%
05Ordenacao;ds.Ordenacao;10;10;100%;12;20;60%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;42;79%
09Ordenacao;ds.Ordenacao;16;16;100%;31;56;55%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;30;79;38%
11ListArray;ds.Lista;12;12;100%;22;31;71%
12Lista;ds.Lista;12;12;100%;19;23;83%
13Pilha;ds.Pilha;12;12;100%;24;31;77%
14Pilha;ds.Pilha;17;17;100%;24;31;77%
15Fila;ds.Fila;19;19;100%;32;43;74%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;93;139;67%
18FPHeapMax;ds.FPHeapMax;40;40;100%;66;117;56%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;41;48;85%;138;160;86%
22TabelaHash;ds.TabelaHash;35;35;100%;73;89;82%
23TabelaHash;ds.TabelaHash;52;52;100%;104;166;63%
24Grafo;ds.Grafo;36;42;86%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;83;109;76%
26Grafo;ds.Grafo;50;51;98%;126;127;99%
27Grafo;ds.Grafo;33;33;100%;69;108;64%
28BuscaEmLargura;ds.Grafo;33;33;100%;65;108;60%
29Grafo;ds.Grafo;33;33;100%;69;108;64%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;78;205;38%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;29;86;34%
33Identifier;ds.Identifier;22;22;100%;59;114;52%
