PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;8;14;57%
02MaxMin;ds.MaxMin1;8;8;100%;18;21;86%
03MaxMin;ds.MaxMin2;8;8;100%;17;21;81%
04MaxMin;ds.MaxMin3;16;16;100%;49;62;79%
05Ordenacao;ds.Ordenacao;10;10;100%;14;20;70%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;42;79%
09Ordenacao;ds.Ordenacao;16;16;100%;32;56;57%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;29;79;37%
11ListArray;ds.Lista;12;12;100%;21;31;68%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;21;31;68%
14Pilha;ds.Pilha;17;17;100%;26;31;84%
15Fila;ds.Fila;19;19;100%;31;43;72%
16Fila;ds.Fila;23;23;100%;37;37;100%
17Ordenacao;ds.Ordenacao;48;48;100%;85;139;61%
18FPHeapMax;ds.FPHeapMax;40;40;100%;67;117;57%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;41;57;72%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;89;89;100%
23TabelaHash;ds.TabelaHash;52;52;100%;166;166;100%
24Grafo;ds.Grafo;36;42;86%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;70;109;64%
26Grafo;ds.Grafo;51;51;100%;93;127;73%
27Grafo;ds.Grafo;33;33;100%;71;108;66%
28BuscaEmLargura;ds.Grafo;33;33;100%;69;108;64%
29Grafo;ds.Grafo;33;33;100%;68;108;63%
30Lista;ds.AgmPrim;32;32;100%;31;76;41%
31CasamentoExato;ds.CasamentoExato;40;40;100%;84;205;41%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;23;86;27%
33Identifier;ds.Identifier;22;22;100%;57;114;50%
