PRJ;CLASSE;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
01Max;ds.Max;4;4;100%;6;14;43%
02MaxMin;ds.MaxMin1;8;8;100%;17;21;81%
03MaxMin;ds.MaxMin2;8;8;100%;18;21;86%
04MaxMin;ds.MaxMin3;16;16;100%;48;62;77%
05Ordenacao;ds.Ordenacao;10;10;100%;16;20;80%
06Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
07Fibonacci;ds.Fibonacci;6;6;100%;12;12;100%
08MaxMin;ds.MaxMin4;13;13;100%;33;42;79%
09Ordenacao;ds.Ordenacao;16;16;100%;34;56;61%
10AvaliaMultMatrizes;ds.AvaliaMultMatrizes;14;14;100%;29;79;37%
11ListArray;ds.Lista;12;12;100%;24;31;77%
12Lista;ds.Lista;12;12;100%;17;23;74%
13Pilha;ds.Pilha;12;12;100%;23;31;74%
14Pilha;ds.Pilha;17;17;100%;24;31;77%
15Fila;ds.Fila;19;19;100%;32;43;74%
16Fila;ds.Fila;23;23;100%;27;37;73%
17Ordenacao;ds.Ordenacao;48;48;100%;86;139;62%
18FPHeapMax;ds.FPHeapMax;40;40;100%;117;117;100%
19FPHeapMin;ds.FPHeapMin;42;42;100%;120;120;100%
20Tabela;ds.Tabela;21;21;100%;31;57;54%
21ArvoreBinaria;ds.ArvoreBinaria;43;48;90%;153;160;96%
22TabelaHash;ds.TabelaHash;35;35;100%;48;89;54%
23TabelaHash;ds.TabelaHash;52;52;100%;109;166;66%
24Grafo;ds.Grafo;40;42;95%;62;143;43%
25Grafo;ds.Grafo;34;34;100%;82;109;75%
26Grafo;ds.Grafo;51;51;100%;91;127;72%
27Grafo;ds.Grafo;33;33;100%;85;108;79%
28BuscaEmLargura;ds.Grafo;33;33;100%;79;108;73%
29Grafo;ds.Grafo;33;33;100%;78;108;72%
30Lista;ds.AgmPrim;32;32;100%;32;76;42%
31CasamentoExato;ds.CasamentoExato;40;40;100%;95;205;46%
32CasamentoAproximado;ds.CasamentoAproximado;19;19;100%;27;86;31%
33Identifier;ds.Identifier;22;22;100%;50;114;44%
